date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:31:48	45584/45584	---MCZ	200	added ('OK')	text/html	etag:W/%225ed4f9f4-b210%22	https://elanta.app/nazar/arter-demo/home.html	C:/Users/Ahmed%20Ashraf/Desktop/Projects/portifolio/elanta.app/nazar/arter-demo/home.html	(from )
12:31:49	66/66	---M--	200	added ('OK')	text/plain	etag:%225dbc8097-42%22	https://elanta.app/robots.txt		(from )
12:31:50	155758/155758	---MCZ	200	added ('OK')	text/css	etag:W/%225ed4f9fe-2606e%22	https://elanta.app/nazar/arter-demo/css/plugins/bootstrap.min.css	C:/Users/Ahmed%20Ashraf/Desktop/Projects/portifolio/elanta.app/nazar/arter-demo/css/plugins/bootstrap.min.css	(from https://elanta.app/nazar/arter-demo/home.html)
12:31:51	111227/111227	---M--	200	added ('OK')	image/x-icon	etag:%225ed4f9fc-1b27b%22	https://elanta.app/nazar/arter-demo/img/thumbnail.ico	C:/Users/Ahmed%20Ashraf/Desktop/Projects/portifolio/elanta.app/nazar/arter-demo/img/thumbnail.ico	(from https://elanta.app/nazar/arter-demo/home.html)
12:31:51	54457/54457	---MCZ	200	added ('OK')	text/css	etag:W/%225ed4f9ff-d4b9%22	https://elanta.app/nazar/arter-demo/css/plugins/font-awesome.min.css	C:/Users/Ahmed%20Ashraf/Desktop/Projects/portifolio/elanta.app/nazar/arter-demo/css/plugins/font-awesome.min.css	(from https://elanta.app/nazar/arter-demo/home.html)
12:31:51	21113/21113	---MCZ	200	added ('OK')	text/css	etag:W/%225ed4f9fe-5279%22	https://elanta.app/nazar/arter-demo/css/plugins/swiper.min.css	C:/Users/Ahmed%20Ashraf/Desktop/Projects/portifolio/elanta.app/nazar/arter-demo/css/plugins/swiper.min.css	(from https://elanta.app/nazar/arter-demo/home.html)
12:31:52	15285/15285	---MCZ	200	added ('OK')	text/css	etag:W/%225ed4f9fe-3bb5%22	https://elanta.app/nazar/arter-demo/css/plugins/fancybox.min.css	C:/Users/Ahmed%20Ashraf/Desktop/Projects/portifolio/elanta.app/nazar/arter-demo/css/plugins/fancybox.min.css	(from https://elanta.app/nazar/arter-demo/home.html)
12:31:52	67782/67782	---MCZ	200	added ('OK')	text/css	etag:W/%225ed4f9f9-108c6%22	https://elanta.app/nazar/arter-demo/css/style.css	C:/Users/Ahmed%20Ashraf/Desktop/Projects/portifolio/elanta.app/nazar/arter-demo/css/style.css	(from https://elanta.app/nazar/arter-demo/home.html)
12:31:52	0/0	---M--	200	added ('OK')	text/plain	etag:%225ed4f9fd-0%22	https://elanta.app/nazar/arter-demo/files/cv.txt	C:/Users/Ahmed%20Ashraf/Desktop/Projects/portifolio/elanta.app/nazar/arter-demo/files/cv.txt	(from https://elanta.app/nazar/arter-demo/home.html)
12:31:52	31439/31439	---MCZ	200	added ('OK')	text/html	etag:W/%225ed4f9f5-7acf%22	https://elanta.app/nazar/arter-demo/portfolio-3-col-masonry.html	C:/Users/Ahmed%20Ashraf/Desktop/Projects/portifolio/elanta.app/nazar/arter-demo/portfolio-3-col-masonry.html	(from https://elanta.app/nazar/arter-demo/home.html)
